id,originalId,name,details,reviews
56866,4dd2a0078877261f71000c24,Heathrow Pod - Business Parking Station B,http://tour-pedia.org/api/getPlaceDetails?id=56866,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56866
56885,4dd37e1bd22dc96be807c281,Radiotherapy Unit Charing Cross Hospital,http://tour-pedia.org/api/getPlaceDetails?id=56885,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56885
56886,4dd3872bfa76c0bf02478f83,TfL Bus 243,http://tour-pedia.org/api/getPlaceDetails?id=56886,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56886
56894,4dd3c9581f6e5374d6e156d9,Gateway Surgical Centre,http://tour-pedia.org/api/getPlaceDetails?id=56894,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56894
56899,4dd41319d4c05dc63ad18868,Spanish Embassy,http://tour-pedia.org/api/getPlaceDetails?id=56899,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56899
56906,4dd4432dfa7645a53c94dd6d,Park Road,http://tour-pedia.org/api/getPlaceDetails?id=56906,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56906
56920,4dd4ef51d22d8e00fcd4424e,The Cole Park Road Surgery,http://tour-pedia.org/api/getPlaceDetails?id=56920,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=56920
57035,4dda10d2d22d38ef43270806,London Eye Millennium Pier‎,http://tour-pedia.org/api/getPlaceDetails?id=57035,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57035
57051,4dda5f417d8b3226643480ce,Runway 27L,http://tour-pedia.org/api/getPlaceDetails?id=57051,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57051
57064,4ddb702f8877caae8015bceb,Gate 33B,http://tour-pedia.org/api/getPlaceDetails?id=57064,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57064
57068,4ddb8ed6c65b7845ebf54c9d,king's Rehab Centre,http://tour-pedia.org/api/getPlaceDetails?id=57068,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57068
57095,4ddcfecc22713339cd21f09b,TfL Bus 20,http://tour-pedia.org/api/getPlaceDetails?id=57095,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57095
57119,4ddd9ba67d8bb03c06a22963,EasyBus Station,http://tour-pedia.org/api/getPlaceDetails?id=57119,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57119
57123,4dde2cc6ae60c6eb2a53c396,Norman Shaw North,http://tour-pedia.org/api/getPlaceDetails?id=57123,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57123
57131,4dde5bbdd4c01aeee8faed61,MP Dental Practice,http://tour-pedia.org/api/getPlaceDetails?id=57131,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57131
57154,4ddf57eaae60c015c0945089,Windmill road bus stop,http://tour-pedia.org/api/getPlaceDetails?id=57154,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57154
57157,4ddf63e1d22d728b20c646a6,Gate 23,http://tour-pedia.org/api/getPlaceDetails?id=57157,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57157
57174,4ddfce0352b16128c6218d95,A4 Cromwell Road,http://tour-pedia.org/api/getPlaceDetails?id=57174,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57174
57175,4ddfe1ec1f6ed1828c5f869c,Bus Stop PD,http://tour-pedia.org/api/getPlaceDetails?id=57175,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57175
57189,4de0c9548877aab7fe52c9a9,Smiles4U,http://tour-pedia.org/api/getPlaceDetails?id=57189,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57189
57195,4de0e02ad164e323c7b69aef,Auckland road,http://tour-pedia.org/api/getPlaceDetails?id=57195,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57195
57226,4de14ad018380dc4dd460723,TfL Bus 154,http://tour-pedia.org/api/getPlaceDetails?id=57226,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57226
57246,4de2385b45dd180ae540a3f9,Acland Building,http://tour-pedia.org/api/getPlaceDetails?id=57246,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57246
57278,4de33f86ae60e7f3ac035b83,TfL Bus 99,http://tour-pedia.org/api/getPlaceDetails?id=57278,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57278
57282,4de36fb5fa7651589f163fb7,A 406,http://tour-pedia.org/api/getPlaceDetails?id=57282,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57282
57307,4de454f8b0fb267148b3068b,Griffin Road,http://tour-pedia.org/api/getPlaceDetails?id=57307,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57307
57332,4de52fad8877bcb686855340,G1 secret bus stop,http://tour-pedia.org/api/getPlaceDetails?id=57332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57332
57337,4de54bef2271f377c2900aa8,TfL Bus 185,http://tour-pedia.org/api/getPlaceDetails?id=57337,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=57337
